"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.984439720E-1,-2.529928461E-3,-1.557903271E-2,0.000000000E0,1.578311751E-2
2.009551700E-1,-3.595161485E-3,-1.770949923E-2,1.065233024E-3,1.810210679E-2
2.034663160E-1,-1.464695437E-3,-1.770949923E-2,1.065233024E-3,1.780186555E-2
2.059775140E-1,-4.660394508E-3,-1.344856713E-2,1.065233024E-3,1.427297993E-2
2.084886590E-1,-7.856093347E-3,-1.877473295E-2,3.195699072E-3,2.060148763E-2
2.109998570E-1,-5.725627299E-3,-1.877473295E-2,5.326164886E-3,2.033817685E-2
2.135113160E-1,-1.105179265E-2,-1.664426550E-2,4.260932095E-3,2.042863767E-2
2.160224610E-1,-8.921326138E-3,-1.664426550E-2,2.130466048E-3,1.900422373E-2
2.185336590E-1,-7.856093347E-3,-1.131810062E-2,1.065233024E-3,1.381855006E-2
2.210448050E-1,-1.318225823E-2,-1.131810062E-2,1.065233024E-3,1.740706911E-2
2.235560030E-1,-8.921326138E-3,-1.025286783E-2,2.130466048E-3,1.375682537E-2
2.260671490E-1,-7.856093347E-3,-1.131810062E-2,1.065233024E-3,1.381855006E-2
2.285783470E-1,-7.856093347E-3,-1.131810062E-2,0.000000000E0,1.377743097E-2
2.310894930E-1,-1.105179265E-2,-5.991935730E-3,2.130466048E-3,1.275085488E-2
2.336006390E-1,-1.105179265E-2,-3.861469682E-3,2.130466048E-3,1.189924176E-2
2.361118360E-1,-9.986559860E-3,-2.796236658E-3,3.195699072E-3,1.085185744E-2
2.386229820E-1,-7.856093347E-3,-5.991935730E-3,1.065233024E-3,9.937616307E-3
2.411341800E-1,-8.921326138E-3,-8.122402243E-3,3.195699072E-3,1.248102443E-2
2.436466280E-1,-6.790860556E-3,-6.657706108E-4,3.195699072E-3,7.534688458E-3
2.461577740E-1,-3.595161485E-3,3.994623839E-4,3.195699072E-3,4.826722372E-3
2.486689720E-1,-2.529928461E-3,1.464695437E-3,4.260932095E-3,5.167341005E-3
2.511801700E-1,-2.529928461E-3,3.595161485E-3,2.130466048E-3,4.885141727E-3
2.536913160E-1,-1.464695437E-3,6.790860556E-3,1.065233024E-3,7.028217499E-3
2.562024610E-1,-3.994623839E-4,9.986559860E-3,3.195699072E-3,1.049301866E-2
2.587136590E-1,1.731003635E-3,7.856093347E-3,4.260932095E-3,9.103302620E-3
