"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.430013100E-1,-2.132561430E-2,-8.188739419E-3,-9.797096252E-3,2.485599271E-2
3.479848000E-1,-1.158393919E-2,1.311977953E-2,-4.924774170E-3,1.818157481E-2
3.529682890E-1,5.227610469E-3,5.855798721E-3,-1.325607300E-4,7.850851051E-3
3.579517270E-1,-1.855544746E-3,-1.072627306E-2,-1.899528503E-2,2.189330568E-2
3.629352160E-1,-1.856759191E-3,-8.289203048E-3,1.195812225E-2,1.466816722E-2
3.679187060E-1,-6.423696876E-3,-5.840137601E-3,-2.380371094E-3,9.002069500E-3
3.731220910E-1,-1.585140824E-3,1.775443554E-2,-4.705429077E-3,1.843566423E-2
3.781055810E-1,-6.208866835E-3,2.459047735E-2,8.487701416E-5,2.536235020E-2
3.830890710E-1,-1.273900270E-3,1.947676390E-2,9.524345398E-3,2.171820226E-2
3.880725080E-1,-1.062797755E-2,-1.374080777E-2,7.028579712E-3,1.873938734E-2
3.930559980E-1,-3.268130124E-3,-6.702303886E-3,2.818107605E-2,2.915089363E-2
3.980394870E-1,-1.270076260E-2,9.891383350E-3,-2.919197083E-3,1.636064017E-2
4.032563100E-1,1.671880484E-3,1.455169916E-2,-3.359317780E-2,3.664762922E-2
4.082398000E-1,-6.923004985E-4,1.922398806E-4,4.671096802E-3,4.726032319E-3
4.132232890E-1,6.483301520E-3,-4.622682929E-3,4.607200623E-3,9.199385504E-3
4.182067270E-1,-1.002418250E-2,-2.350836992E-2,4.545211792E-3,2.595740051E-2
4.231902160E-1,4.415951669E-3,-1.378129423E-2,-7.337570190E-3,1.622543177E-2
4.281737060E-1,2.068899572E-3,2.862855792E-3,1.640319824E-2,1.677918953E-2
4.333964140E-1,-2.558045089E-3,-2.322787046E-2,1.855945587E-2,2.984176542E-2
4.383799040E-1,2.276614308E-3,-1.340866089E-2,-1.479053497E-2,2.009316014E-2
4.433633930E-1,-1.187336817E-2,-3.608837724E-3,-3.116703033E-2,3.354674889E-2
4.483468310E-1,1.900329441E-2,-3.497421741E-3,1.417350769E-2,2.396341957E-2
4.533303210E-1,-2.503842115E-3,-3.439292312E-3,2.346992493E-2,2.385236535E-2
4.583138100E-1,-8.478015661E-5,-1.053439081E-2,-2.178382874E-2,2.419743316E-2
4.635193310E-1,-6.772577763E-6,-3.345161676E-3,-4.046726227E-2,4.060528867E-2
4.685028210E-1,-4.617512226E-3,1.086414605E-2,2.527236938E-4,1.180741114E-2
4.734863100E-1,-6.911516190E-3,1.180097461E-3,-6.855010986E-3,9.805756558E-3
4.784697480E-1,-2.112469077E-2,1.060394198E-2,-1.861858368E-2,3.008899805E-2
4.834532370E-1,5.291618407E-3,1.281791180E-2,-1.841068268E-2,2.304893327E-2
4.884367270E-1,1.009443402E-2,1.984923333E-2,-2.531337738E-2,3.371434022E-2
4.936514140E-1,5.322344601E-3,7.486939430E-4,1.997947693E-2,2.068978958E-2
4.986349040E-1,-1.130083576E-2,-1.340909302E-2,3.176689148E-3,1.782144827E-2
5.036183930E-1,-4.099994898E-3,-1.324890554E-2,1.025104523E-2,1.724608316E-2
5.086018310E-1,-1.346334815E-2,1.231133938E-3,3.033638000E-3,1.385569896E-2
5.135853210E-1,5.662240088E-3,-1.762507856E-2,7.744789124E-3,2.006704053E-2
5.185688100E-1,-1.570935175E-2,-1.031345129E-2,5.293846130E-3,1.952372446E-2
5.237826120E-1,-1.304545999E-2,2.305516601E-2,-6.615638733E-3,2.730368806E-2
5.287738620E-1,3.758296371E-3,1.393228769E-3,1.478958130E-2,1.532310651E-2
5.337651120E-1,1.322860271E-2,-1.762607694E-2,1.938247681E-2,2.934884878E-2
5.387563620E-1,2.276109904E-2,-5.678161979E-3,1.681423187E-2,2.886221659E-2
5.437475600E-1,1.544205099E-2,1.336837560E-2,-2.326965332E-3,2.055687653E-2
5.487388100E-1,1.051806659E-2,-1.051765680E-2,-2.304077148E-3,1.505189692E-2
5.539139140E-1,-3.793597221E-3,-1.282389462E-2,-4.654884338E-3,1.416021191E-2
5.589051640E-1,1.044770330E-2,-5.567148328E-3,-1.884460449E-2,2.225458971E-2
5.638964140E-1,7.946237922E-3,2.049856633E-2,1.217842102E-2,2.513260546E-2
5.688876640E-1,1.269178838E-2,8.457481861E-3,2.572059631E-3,1.546693190E-2
5.738788620E-1,-4.015542567E-3,8.343607187E-3,-1.643753052E-2,1.886618066E-2
5.788701120E-1,3.213502467E-3,1.302830130E-2,-1.153850555E-2,1.769746714E-2
5.840578210E-1,5.741126835E-3,5.858600140E-3,-1.938819885E-3,8.428686462E-3
5.890490710E-1,-1.358903944E-3,2.238580585E-2,5.199432373E-3,2.302183790E-2
5.940403210E-1,1.529315114E-2,7.853716612E-3,1.702117920E-2,2.419259965E-2
5.990315710E-1,1.038350165E-3,-1.747697592E-3,-2.111816406E-2,2.121578354E-2
6.040227680E-1,-5.968011916E-3,1.722693443E-2,7.559776306E-3,1.973663229E-2
6.090140180E-1,6.237536669E-3,-2.058669925E-3,1.698684692E-2,1.821257681E-2
6.141823520E-1,-8.095055819E-3,-4.398420453E-3,1.683902740E-2,1.919450117E-2
6.191736020E-1,1.094211638E-2,2.727687359E-3,-7.055282593E-3,1.330215026E-2
6.241648520E-1,-5.859680474E-3,-1.163384318E-2,-4.620552063E-3,1.382142047E-2
6.291561020E-1,8.564844728E-3,1.693077385E-2,1.678466797E-4,1.897461043E-2
6.341473000E-1,1.441538334E-3,1.918069273E-2,-9.335517883E-3,2.138057297E-2
6.391385500E-1,-3.248155117E-3,-4.770144820E-3,1.687240601E-2,1.783207441E-2
6.443340180E-1,1.497291028E-3,-1.184104383E-2,-1.177406311E-2,1.676546336E-2
6.493252680E-1,3.935143352E-3,-1.404938102E-2,-9.301185608E-3,1.730267361E-2
6.543165180E-1,2.071000636E-2,-1.871788502E-2,1.928138733E-2,3.392691380E-2
6.593077680E-1,6.305187941E-3,-1.854619384E-2,3.099822998E-2,3.666888276E-2
6.642989660E-1,-1.505309716E-2,1.261018962E-2,-1.439380646E-2,2.434736702E-2
