"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.148327180E-1,2.796236658E-3,-4.527240247E-2,-4.260932095E-3,4.555836813E-2
2.175446970E-1,4.926702939E-3,-4.420717061E-2,-2.130466048E-3,4.453184501E-2
2.200375100E-1,6.657706108E-4,-4.420717061E-2,-3.195699072E-3,4.432752729E-2
2.225303220E-1,-1.464695437E-3,-5.166380107E-2,-2.130466048E-3,5.172845020E-2
2.250231870E-1,-2.529928461E-3,-4.633763805E-2,-2.130466048E-3,4.645552845E-2
2.275159990E-1,-6.790860556E-3,-4.314193875E-2,1.065233024E-3,4.368612351E-2
2.300088120E-1,-9.986559860E-3,-4.101147130E-2,1.065233024E-3,4.222329781E-2
2.325016240E-1,-4.660394508E-3,-4.101147130E-2,0.000000000E0,4.127541708E-2
2.349944890E-1,-4.660394508E-3,-4.207670316E-2,0.000000000E0,4.233400791E-2
2.374873020E-1,-6.790860556E-3,-3.142437339E-2,4.260932095E-3,3.243088917E-2
2.399801140E-1,-7.856093347E-3,-3.035914153E-2,1.065233024E-3,3.137722739E-2
2.424729270E-1,-3.595161485E-3,-3.568530455E-2,0.000000000E0,3.586594690E-2
2.449657910E-1,-2.529928461E-3,-2.929390781E-2,2.130466048E-3,2.948003491E-2
2.476769890E-1,-3.595161485E-3,-2.929390781E-2,5.326164886E-3,2.999043603E-2
2.501698020E-1,-2.529928461E-3,-2.716344222E-2,4.260932095E-3,2.761174884E-2
2.526626140E-1,-1.464695437E-3,-2.290250920E-2,6.391398143E-3,2.382268311E-2
2.551554790E-1,-3.595161485E-3,-2.197043039E-2,5.326164886E-3,2.289089404E-2
2.576482910E-1,-1.464695437E-3,-1.238333434E-2,8.521864191E-3,1.510345892E-2
2.601411040E-1,1.731003635E-3,-1.025286783E-2,6.391398143E-3,1.220523013E-2
2.626339160E-1,6.657706108E-4,-1.344856713E-2,6.391398143E-3,1.490493806E-2
2.651267810E-1,-1.464695437E-3,-9.187635034E-3,6.391398143E-3,1.128751259E-2
2.676195930E-1,-3.994623839E-4,-5.991935730E-3,5.326164886E-3,8.026885846E-3
2.701124060E-1,6.657706108E-4,-8.122402243E-3,5.326164886E-3,9.735743480E-3
2.726052180E-1,3.861469682E-3,-7.057168987E-3,3.195699072E-3,8.656042674E-3
2.750980830E-1,1.731003635E-3,-3.861469682E-3,8.521864191E-3,9.514698680E-3
2.778095410E-1,-3.595161485E-3,3.595161485E-3,6.391398143E-3,8.167027759E-3
2.803023540E-1,6.657706108E-4,5.725627299E-3,3.195699072E-3,6.590792899E-3
2.827951660E-1,-3.994623839E-4,-6.657706108E-4,5.326164886E-3,5.382457905E-3
2.852880310E-1,-3.994623839E-4,2.529928461E-3,3.195699072E-3,4.095436578E-3
2.877808430E-1,-2.529928461E-3,3.595161485E-3,5.326164886E-3,6.906066646E-3
2.902736560E-1,-2.529928461E-3,2.529928461E-3,1.065233024E-3,3.733068098E-3
2.927664680E-1,1.731003635E-3,4.660394508E-3,-2.130466048E-3,5.408746263E-3
2.952593330E-1,-1.464695437E-3,3.595161485E-3,1.065233024E-3,4.025573278E-3
2.977521450E-1,-1.464695437E-3,6.790860556E-3,4.260932095E-3,8.149641841E-3
3.002449580E-1,6.657706108E-4,9.986559860E-3,3.195699072E-3,1.050652754E-2
3.027377700E-1,6.657706108E-4,3.595161485E-3,-1.065233024E-3,3.808301196E-3
3.052306350E-1,1.731003635E-3,-2.796236658E-3,6.391398143E-3,7.187856652E-3
3.079501660E-1,-1.464695437E-3,-8.122402243E-3,4.260932095E-3,9.288395623E-3
3.104429790E-1,6.657706108E-4,-1.025286783E-2,5.326164886E-3,1.157292450E-2
3.129357910E-1,2.796236658E-3,-1.451379992E-2,7.456631400E-3,1.655508017E-2
3.154286560E-1,1.731003635E-3,-1.770949923E-2,3.195699072E-3,1.807858482E-2
3.179214680E-1,2.796236658E-3,-1.451379992E-2,4.260932095E-3,1.538261583E-2
3.204142810E-1,-1.464695437E-3,-1.770949923E-2,3.195699072E-3,1.805503221E-2
3.229070930E-1,-4.660394508E-3,-2.290250920E-2,1.065233024E-3,2.339613058E-2
3.253999580E-1,-3.595161485E-3,-2.197043039E-2,2.130466048E-3,2.236434401E-2
3.278927700E-1,6.657706108E-4,-2.609820850E-2,3.195699072E-3,2.630156326E-2
3.303855830E-1,-7.856093347E-3,-2.609820850E-2,2.130466048E-3,2.733813409E-2
3.328783950E-1,-7.856093347E-3,-3.248960897E-2,0.000000000E0,3.342593146E-2
3.353712600E-1,-8.921326138E-3,-3.355484083E-2,0.000000000E0,3.472056168E-2
3.380808430E-1,-9.986559860E-3,-3.035914153E-2,3.195699072E-3,3.211886276E-2
3.405736560E-1,-4.660394508E-3,-3.675054014E-2,2.130466048E-3,3.710606908E-2
3.430664680E-1,-7.856093347E-3,-4.527240247E-2,5.326164886E-3,4.625663909E-2
3.455593330E-1,-6.790860556E-3,-4.953333735E-2,4.260932095E-3,5.017791186E-2
