"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.413874630E-1,4.484601319E-3,-1.420935988E-2,-3.093719482E-3,1.521803724E-2
3.463718380E-1,-1.799389720E-4,-1.166379452E-2,-7.761955261E-3,1.401158200E-2
3.513562650E-1,-1.549683511E-4,4.991233349E-3,-1.471996307E-2,1.554392931E-2
3.563406400E-1,-2.545353025E-3,2.573370934E-3,2.017021179E-3,4.143601624E-3
3.613250670E-1,-1.202816144E-2,1.917481422E-4,2.322483063E-2,2.615542377E-2
3.663094420E-1,-1.423911005E-2,4.822999239E-3,-1.016330719E-2,1.814680109E-2
3.715224110E-1,1.662390307E-2,1.190662384E-2,-1.001453400E-2,2.276867883E-2
3.765067860E-1,9.219225496E-3,4.950165749E-5,1.610469818E-2,1.855688208E-2
3.814912130E-1,2.343461104E-2,-9.381741285E-3,-1.246166229E-2,2.815121829E-2
3.864755880E-1,-1.456315815E-2,-1.401069760E-2,-9.926795959E-3,2.251502833E-2
3.914600150E-1,1.159678213E-2,7.359027863E-3,1.855850220E-2,2.308806295E-2
3.964443900E-1,-3.004856408E-4,7.275670767E-3,2.067184448E-2,2.191690742E-2
4.016457450E-1,-2.529647201E-3,4.885762930E-3,3.853797913E-3,6.717257828E-3
4.066301200E-1,2.253852785E-3,-9.397447109E-3,6.166458130E-3,1.146372847E-2
4.116145470E-1,-7.212210447E-3,-2.118352056E-2,-5.739212036E-3,2.310186307E-2
4.165989220E-1,4.827711731E-3,7.533431053E-3,-1.748657227E-2,1.964280004E-2
4.215833490E-1,1.188289933E-2,-2.057462931E-3,1.111698151E-2,1.640194281E-2
4.265677240E-1,1.885180175E-2,-6.746321917E-3,-3.214836121E-3,2.027901526E-2
4.317839220E-1,-1.684808359E-2,-1.379725337E-2,1.338577271E-2,2.556171027E-2
4.367682970E-1,6.989609450E-3,-6.462156773E-3,-1.517105103E-2,1.791018983E-2
4.417527240E-1,9.398661554E-3,6.803274155E-4,-5.522727966E-3,1.092237193E-2
4.467370990E-1,2.258028835E-3,1.967608929E-2,-7.209777832E-4,1.981834990E-2
4.517215260E-1,9.354203939E-3,1.235920191E-2,8.758544922E-3,1.780345787E-2
4.567059010E-1,2.264659852E-3,9.658873081E-3,-8.192062378E-4,9.954577455E-3
4.619177760E-1,-7.206782699E-3,-9.594410658E-3,-4.106998444E-2,4.278707812E-2
4.669021510E-1,2.368652634E-2,9.425520897E-3,4.392623901E-3,2.586865128E-2
4.718865780E-1,2.349563874E-2,2.359870076E-2,-9.865760803E-3,3.473149801E-2
4.768709530E-1,1.146092452E-2,-1.691773534E-2,-7.386207581E-3,2.172829083E-2
4.818553800E-1,-7.493183017E-3,-2.551883459E-3,-1.204490662E-2,1.441317718E-2
4.868397550E-1,9.349726140E-3,-7.246494293E-3,-2.435684204E-3,1.207731824E-2
4.920464740E-1,1.174979098E-2,7.120728493E-3,1.418113708E-2,1.974505030E-2
4.970308490E-1,-9.737528861E-3,2.373248339E-3,1.640224457E-2,1.922200309E-2
5.020152760E-1,1.176833548E-2,-1.427838206E-2,9.118080139E-3,2.062777980E-2
5.069996510E-1,4.554919899E-3,4.748314619E-3,6.649971008E-3,9.354993395E-3
5.119840780E-1,-2.529118210E-3,-7.760524750E-5,8.951187134E-3,9.301946710E-3
5.169684530E-1,-7.223103195E-3,-1.897737384E-2,-5.365371704E-3,2.100240822E-2
5.221844950E-1,-1.661514491E-2,-1.165416837E-2,1.128959656E-2,2.322364466E-2
5.271764740E-1,7.340416312E-3,4.976391792E-3,-1.016902924E-2,1.349278854E-2
5.321685050E-1,2.543527633E-3,-2.222985029E-3,-2.954483032E-3,4.487779545E-3
5.371604840E-1,-9.320624173E-3,-1.167261600E-2,2.316761017E-2,2.756559740E-2
5.421525150E-1,2.755176276E-3,2.742439508E-3,-3.149986267E-3,5.003437244E-3
5.471445470E-1,1.229103468E-2,-6.757140160E-3,1.626014709E-3,1.411992920E-2
5.523135050E-1,-9.155470878E-3,-2.091214061E-2,-3.133773804E-3,2.304258688E-2
5.573054840E-1,-1.606216654E-2,3.030568361E-3,-7.848739624E-3,1.813229859E-2
5.622975150E-1,-8.718710393E-3,-2.308556437E-2,2.307605743E-2,3.378555342E-2
5.672894950E-1,3.197841346E-3,-1.341351867E-2,-3.245353699E-3,1.416619190E-2
5.722815260E-1,7.986553013E-3,-1.090008020E-2,-8.411407471E-4,1.353899166E-2
5.772735570E-1,-3.882139921E-3,1.063081622E-2,-7.952690125E-3,1.383222846E-2
5.824749630E-1,-2.038588375E-2,2.242150903E-2,-1.500225067E-2,3.381384108E-2
5.874669950E-1,-1.316548139E-2,2.218654752E-2,-1.961803436E-2,3.241049310E-2
5.924590260E-1,-1.550571993E-2,-1.736134291E-3,3.041553497E-2,3.418400621E-2
5.974510050E-1,-1.292569563E-2,-4.078298807E-3,3.014945984E-2,3.305595343E-2
6.024430360E-1,-1.274074614E-2,8.265376091E-4,3.769874573E-3,1.331246525E-2
6.074350670E-1,1.831468195E-2,-8.611649275E-3,-3.385543823E-3,2.051950255E-2
6.125876200E-1,2.546792291E-2,5.675494671E-3,-3.356933594E-3,2.630770496E-2
6.175795990E-1,8.699774742E-3,5.643814802E-3,-1.282787323E-2,1.649524349E-2
6.225716300E-1,1.471269876E-3,-6.264030933E-3,1.531600952E-3,6.614266404E-3
6.275636090E-1,6.129100919E-3,-1.554247737E-2,1.523971558E-3,1.677667935E-2
6.325556400E-1,1.549616829E-2,-1.539605856E-2,1.101398468E-2,2.446380406E-2
6.375476720E-1,-1.344226301E-3,6.025373936E-3,6.168365479E-3,8.727015990E-3
6.427128800E-1,-3.742001951E-3,-3.456056118E-3,-3.383636475E-3,6.115218580E-3
6.477048590E-1,5.918622017E-3,-1.534041762E-2,-3.355026245E-3,1.678137958E-2
6.526968900E-1,1.088935882E-3,-5.745679140E-3,-9.527206421E-4,5.925055844E-3
6.576888700E-1,-1.552498713E-2,-1.043269038E-2,-1.994800568E-2,2.734573430E-2
6.626809010E-1,-3.343489021E-3,1.110267639E-2,-1.027584076E-2,1.549326451E-2
6.676729320E-1,-5.671795458E-3,-8.506178856E-4,-7.813453674E-3,9.692413158E-3
6.728415780E-1,-1.024695113E-2,2.287557721E-2,-1.487636566E-2,2.914786949E-2
6.778335570E-1,1.604343951E-2,-1.071122289E-2,-5.035400391E-4,1.929704121E-2
6.828255880E-1,4.106141627E-3,-1.065722108E-2,1.137828827E-2,1.612148269E-2
6.878175670E-1,-7.683020085E-3,1.326203346E-3,-2.672481537E-2,2.783888233E-2
6.928095990E-1,1.156276464E-2,2.038756013E-2,2.338695526E-2,3.311041846E-2
6.978016300E-1,-2.839900553E-4,-3.521531820E-3,-2.938270569E-3,4.595135542E-3
7.029765780E-1,-2.079606056E-4,1.330018044E-3,-5.286216736E-3,5.454931987E-3
7.079685570E-1,1.401619054E-2,8.462190628E-3,1.376247406E-2,2.138850064E-2
7.129605880E-1,1.993924379E-3,1.305559278E-2,-6.084442139E-4,1.322098489E-2
7.179525670E-1,1.619973034E-2,5.888551474E-3,4.149436951E-3,1.772918860E-2
