"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.465587050E-1,-2.322606742E-2,7.896554470E-2,-2.725687027E-1,2.847256665E-1
3.515448510E-1,-2.406965196E-2,9.323066473E-2,-2.870893478E-1,3.028062064E-1
3.565309970E-1,-4.607628286E-2,8.412009478E-2,-3.038387299E-1,3.186176203E-1
3.615171420E-1,-1.580612361E-2,1.017331481E-1,-3.180847168E-1,3.343312041E-1
3.665032360E-1,3.057558835E-2,6.334346533E-2,-2.756080627E-1,2.844416732E-1
3.714893820E-1,4.103478789E-2,4.954278469E-2,-2.385654449E-1,2.470866505E-1
3.766927670E-1,3.027603030E-2,8.649230003E-4,-1.360321045E-1,1.393632647E-1
3.816789130E-1,7.952272892E-3,-2.593362331E-2,-5.388069153E-2,6.032346460E-2
3.866650590E-1,-3.259739280E-2,-7.140517235E-2,1.765727997E-2,8.045538013E-2
3.916511530E-1,1.994287968E-2,-1.237540245E-1,9.058094025E-2,1.546534312E-1
3.966372990E-1,1.022341847E-2,-1.355460584E-1,1.034765244E-1,1.708351349E-1
4.016234440E-1,-3.482134640E-2,-8.108279109E-2,1.091308594E-1,1.403441828E-1
4.068452670E-1,-6.168723106E-3,-8.904820681E-2,7.693004608E-2,1.178383141E-1
4.118314650E-1,2.210794389E-2,-8.291038871E-2,2.626514435E-2,8.973712468E-2
4.168175590E-1,3.563871980E-2,-3.652191162E-2,2.827548981E-2,5.833928094E-2
4.218036530E-1,6.514859200E-2,-1.433491707E-4,2.554130554E-2,6.997655234E-2
4.267897990E-1,7.991400361E-2,-9.118556976E-3,4.650115967E-2,9.290723279E-2
4.317759440E-1,6.628052890E-2,-2.271646261E-2,5.064392090E-2,8.645202663E-2
4.369739650E-1,8.387818933E-2,-3.360718489E-2,3.579902649E-2,9.719343506E-2
4.419601110E-1,1.036611497E-1,-2.063161135E-2,4.006481171E-2,1.130331212E-1
4.469462570E-1,9.498113394E-2,-2.675104141E-2,1.081819534E-1,1.464253020E-1
4.519323510E-1,9.373012185E-2,-5.652502179E-2,1.423635483E-1,1.795767070E-1
4.569184970E-1,7.382804155E-2,-6.490874290E-2,1.524982452E-1,1.814371501E-1
4.619046420E-1,7.789251208E-2,-6.156975031E-2,1.436042786E-1,1.745859857E-1
4.670997990E-1,8.919610083E-2,-8.205643296E-2,1.514110565E-1,1.939446071E-1
4.720859440E-1,8.142523468E-2,-1.969420910E-2,1.141653061E-1,1.416038412E-1
4.770720900E-1,6.418654323E-2,-1.493793726E-2,1.081495285E-1,1.266466534E-1
4.820581840E-1,2.118974924E-2,-3.644698858E-2,7.616329193E-2,8.705306133E-2
4.870443300E-1,-1.196084917E-2,-4.834908247E-2,1.611518860E-2,5.234878214E-2
4.920304760E-1,-3.079575300E-2,-2.221494913E-2,4.118919373E-3,3.819486699E-2
4.972275070E-1,-4.712197185E-2,1.056736708E-2,2.069950104E-2,5.254159134E-2
5.022136530E-1,-3.483982384E-2,9.951829910E-3,-1.741218567E-2,4.019995589E-2
5.071997990E-1,-1.316975057E-2,3.557646275E-2,-2.432060242E-2,4.506238713E-2
5.121858920E-1,-2.486881614E-2,1.368415356E-2,-1.694488525E-2,3.305817918E-2
5.171720380E-1,-3.150258958E-2,5.128914118E-2,-4.047393799E-2,7.253363916E-2
5.221581840E-1,-1.215051115E-2,2.460283041E-2,-2.583122253E-2,3.768535847E-2
5.273651630E-1,-1.003444195E-4,4.097330570E-2,-2.320289612E-2,4.708711328E-2
5.323586010E-1,2.611295879E-2,5.248922110E-2,-8.747100830E-3,5.927492489E-2
5.373520900E-1,4.490824044E-2,5.667537451E-2,-2.763462067E-2,7.741137122E-2
5.423455280E-1,6.337481737E-2,5.370742083E-2,-4.396438599E-2,9.398788094E-2
5.473390170E-1,4.835374653E-2,6.505846977E-2,-7.200145721E-2,1.084200126E-1
5.523325070E-1,2.384002507E-2,7.171481848E-2,-6.656455994E-2,1.007085032E-1
5.574969340E-1,2.544324100E-2,9.244692326E-2,-8.490180969E-2,1.280707204E-1
5.624903720E-1,7.204823196E-2,9.410303831E-2,-1.291790009E-1,1.753098509E-1
5.674838610E-1,8.707895875E-2,9.827309847E-2,-1.564435959E-1,2.042423698E-1
5.724772990E-1,1.065420806E-1,1.312430501E-1,-1.811094284E-1,2.477429680E-1
5.774707880E-1,1.046493053E-1,1.310433745E-1,-1.652402878E-1,2.354319346E-1
5.824642780E-1,1.027826965E-1,1.168713570E-1,-1.400480270E-1,2.093720293E-1
5.876315690E-1,9.633079171E-2,6.505328417E-2,-6.525802612E-2,1.333047681E-1
5.926250070E-1,1.165696979E-1,6.830990314E-3,1.358127594E-2,1.175568286E-1
5.976184970E-1,8.258774877E-2,-5.567175150E-2,7.034301758E-2,1.219353119E-1
6.026119340E-1,1.156517863E-2,-1.272721589E-1,1.218538284E-1,1.765794758E-1
6.076054240E-1,-6.304730475E-2,-1.558639407E-1,1.919298172E-1,2.551579616E-1
6.125989130E-1,-1.034926772E-1,-1.703705192E-1,2.353076935E-1,3.083935127E-1
6.177761010E-1,-1.195082664E-1,-1.851975024E-1,2.545986176E-1,3.367503477E-1
6.227695380E-1,-1.331672072E-1,-1.530303955E-1,1.954011917E-1,2.816619121E-1
6.277630280E-1,-7.578045130E-2,-8.117115498E-2,1.486234665E-1,1.855272702E-1
6.327564650E-1,-4.061545432E-2,-1.725119352E-2,7.851123810E-2,9.006238568E-2
6.377499550E-1,-4.204197228E-2,3.905838728E-2,-7.632255554E-3,5.789072788E-2
6.427434440E-1,-7.024733722E-2,4.516220093E-2,-5.028820038E-2,9.748443915E-2
6.479093300E-1,-7.757546008E-2,8.455014229E-2,-8.544826508E-2,1.430667137E-1
6.529027670E-1,-6.889866292E-2,1.119542122E-1,-1.179351807E-1,1.766054309E-1
6.578962570E-1,-6.070408225E-2,9.905421734E-2,-1.240272522E-1,1.699396448E-1
6.628896940E-1,-4.323023558E-2,1.102235317E-1,-1.063203812E-1,1.591292043E-1
6.678831840E-1,-3.090514243E-2,8.587044477E-2,-8.876609802E-2,1.273117484E-1
6.728766740E-1,4.789271951E-2,6.904929876E-2,-3.811264038E-2,9.227183535E-2
6.780315170E-1,1.717555523E-2,9.044277668E-2,5.486583710E-2,1.071688184E-1
6.830249550E-1,-5.703940988E-3,5.225777626E-2,4.253387451E-2,6.762056347E-2
6.880184440E-1,-5.438621342E-2,-2.087271214E-2,4.928493500E-2,7.630553807E-2
6.930118820E-1,-3.083768487E-2,-1.009106636E-2,6.783390045E-2,7.519461735E-2
6.980053720E-1,-2.588188648E-2,-3.982961178E-2,1.004686356E-1,1.111315291E-1
7.029988610E-1,-2.765224874E-2,-6.703707576E-2,1.518297195E-1,1.682583731E-1
7.081679240E-1,-3.389261663E-2,-8.722424507E-2,2.003993988E-1,2.211711948E-1
7.131613610E-1,6.942415237E-2,-1.006000638E-1,2.485847473E-1,2.770098597E-1
7.181548510E-1,1.196269691E-1,-8.587837219E-2,2.702655792E-1,3.077810746E-1
7.231482880E-1,1.219093502E-1,-1.196206510E-1,3.250694275E-1,3.672071929E-1
7.281417780E-1,6.479305029E-2,-1.252512932E-1,3.652000427E-1,3.914806471E-1
7.331352670E-1,1.961430907E-2,-1.480315626E-1,3.361473083E-1,3.678220732E-1
7.383021940E-1,-1.730352640E-3,-1.359330714E-1,3.216514587E-1,3.491997350E-1
7.432956320E-1,-3.736971319E-2,-1.126143634E-1,2.764301300E-1,3.008190604E-1
7.482891220E-1,-3.011360765E-2,-1.041034758E-1,1.959791183E-1,2.239468193E-1
7.532825590E-1,-4.941126704E-2,-4.582959414E-2,4.969692230E-2,8.373535153E-2
7.582760490E-1,-3.549200296E-2,1.686227322E-2,-2.721786499E-3,3.938815373E-2
7.632695380E-1,6.561696529E-3,7.474488020E-2,-9.985637665E-2,1.249045593E-1
7.684448510E-1,1.001444459E-2,8.983534575E-2,-1.700687408E-1,1.925981699E-1
7.734382880E-1,8.639603853E-3,1.127097607E-1,-1.779756546E-1,2.108399074E-1
7.784317780E-1,1.224321127E-2,1.146304607E-1,-1.549739838E-1,1.931501343E-1
7.834252150E-1,6.323814392E-3,7.650905848E-2,-1.345605850E-1,1.549199074E-1
7.884187050E-1,3.133884072E-2,8.642166853E-2,-1.428346634E-1,1.698604392E-1
7.934121940E-1,2.046689391E-2,5.839556456E-2,-1.439218521E-1,1.566602541E-1
7.985691740E-1,-3.068134189E-2,7.343107462E-2,-1.568822861E-1,1.759133853E-1
8.035626110E-1,-3.644306958E-2,8.125132322E-2,-1.792325974E-1,2.001354511E-1
8.085561010E-1,4.569584131E-2,8.213406801E-2,-1.301441193E-1,1.605353756E-1
8.135495380E-1,1.324881911E-1,7.623612881E-2,-5.774593353E-2,1.634003089E-1
8.185430280E-1,1.526713669E-1,7.993674278E-2,-4.535961151E-2,1.782019177E-1
8.235365170E-1,1.140334010E-1,3.149396181E-2,-4.023170471E-2,1.249562973E-1
8.287054240E-1,6.471452117E-2,3.829818964E-2,-2.330589294E-2,7.872664877E-2
8.336988610E-1,1.888677478E-2,4.046022892E-2,-6.118774414E-2,7.574747797E-2
8.386923510E-1,2.140101790E-2,1.219415665E-2,-8.453941345E-2,8.805460494E-2
8.436857880E-1,3.845691681E-4,-1.474320889E-3,-2.456665039E-2,2.461385437E-2
8.486792780E-1,-2.020782232E-2,-1.507639885E-2,4.440689087E-2,5.106491792E-2
8.536727670E-1,-4.058603942E-2,-3.119480610E-2,9.619140625E-2,1.089638892E-1
8.588473510E-1,-2.769100666E-2,-4.030472040E-2,1.048049927E-1,1.156518432E-1
8.638407880E-1,1.314714551E-2,-4.976177216E-2,7.775211334E-2,9.324415549E-2
8.688342780E-1,-3.984555602E-3,-4.313254356E-2,6.047916412E-2,7.439100948E-2
8.738277150E-1,-3.102533519E-2,-1.549643278E-2,3.150558472E-2,4.685416439E-2
8.788212050E-1,-1.557905972E-2,6.943881512E-3,9.926795959E-3,1.973488967E-2
8.838146940E-1,-3.205209970E-3,2.640837431E-2,-3.756427765E-2,4.602988768E-2
8.889724030E-1,-1.017092168E-2,6.005370617E-2,-8.940982819E-2,1.081850851E-1
8.939658400E-1,-1.248343289E-2,5.314147472E-2,-1.479530334E-1,1.577021006E-1
8.989593300E-1,-4.571636021E-2,5.594652891E-2,-1.941375732E-1,2.071458352E-1
9.039527670E-1,-4.546627402E-2,5.459719896E-2,-2.233448029E-1,2.343734993E-1
9.089462570E-1,-6.650416553E-2,6.818753481E-2,-2.357234955E-1,2.542398676E-1
9.139397470E-1,-6.088076532E-2,8.228665590E-2,-2.646751404E-1,2.837789479E-1
9.191047990E-1,-5.245368183E-2,4.698991776E-2,-2.316694260E-1,2.421366640E-1
9.240982360E-1,-2.011942863E-2,6.003528833E-2,-1.609687805E-1,1.729739158E-1
9.290917260E-1,-1.384024322E-2,2.314335108E-2,-1.003713608E-1,1.039306360E-1
9.340851630E-1,-9.788930416E-3,-2.531647682E-2,-2.840518951E-2,3.928870001E-2
9.390786530E-1,1.338456571E-2,-8.060109615E-2,2.040863037E-4,8.170510970E-2
9.440721420E-1,1.730915904E-2,-6.679230928E-2,2.146720886E-2,7.226105883E-2
9.492413090E-1,1.640807092E-2,-8.161669970E-2,1.167297363E-2,8.406407541E-2
9.542347470E-1,4.128091037E-2,-9.883859754E-2,6.136608124E-2,1.234462549E-1
9.592282360E-1,2.050182223E-2,-7.594561577E-2,1.035509109E-1,1.300417334E-1
9.642216740E-1,9.246423841E-3,-9.166583419E-2,6.939601898E-2,1.153426589E-1
9.692151630E-1,2.390620112E-2,-7.905822992E-2,9.256362915E-2,1.240553732E-1
9.742086530E-1,4.061296582E-2,-8.117011189E-2,5.142498016E-2,1.043193589E-1
9.793730800E-1,1.210184395E-2,-1.214976609E-1,2.727127075E-2,1.251073876E-1
