"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.287219410E-1,-2.802431583E-2,2.869844437E-3,-4.725837708E-2,5.501774704E-2
3.337427220E-1,-1.127201319E-2,7.584691048E-3,-5.351924896E-2,5.521680749E-2
3.387635040E-1,-6.469488144E-3,1.944947243E-2,-5.260944366E-2,5.646140113E-2
3.437842850E-1,-8.765459061E-3,3.363859653E-2,-5.171012878E-2,6.230831299E-2
3.488050140E-1,1.018315554E-2,4.273951054E-2,1.515007019E-2,4.647458493E-2
3.538198060E-1,5.859732628E-4,3.745532036E-2,7.781982422E-4,3.746798607E-2
3.588405870E-1,9.954452515E-3,3.246653080E-2,-2.749443054E-2,4.369336858E-2
3.638613680E-1,7.431864738E-3,1.812112331E-2,-5.534744263E-2,5.871070711E-2
3.688821490E-1,4.846215248E-3,4.190361500E-2,-8.041191101E-2,9.080459341E-2
3.739029310E-1,-1.052021980E-4,2.075982094E-2,-5.788326263E-2,6.149352264E-2
3.789236600E-1,-2.572774887E-3,2.353477478E-2,-3.805732727E-2,4.482036316E-2
3.839579310E-1,1.142698526E-2,1.909303665E-2,-2.325344086E-2,3.218450796E-2
3.889787120E-1,1.085674763E-2,-4.075407982E-3,-2.044582367E-2,2.350552328E-2
3.939994930E-1,8.204340935E-3,-1.520836353E-2,3.550529480E-3,1.764119585E-2
3.990202740E-1,1.975917816E-2,-9.604811668E-3,-1.126289368E-3,2.199877398E-2
4.040410560E-1,1.929461956E-2,-2.781248093E-2,1.338958740E-3,3.387638189E-2
4.090617850E-1,4.665136337E-3,-5.287027359E-2,8.498191833E-3,5.375173105E-2
4.140839720E-1,2.096748352E-2,-5.632889271E-2,2.738475800E-2,6.604925805E-2
4.191047540E-1,1.794457436E-3,-5.523192883E-2,3.889846802E-2,6.757867159E-2
4.241255350E-1,-5.139708519E-4,-3.307473660E-2,4.787731171E-2,5.819312110E-2
4.291463160E-1,-5.239248276E-4,-3.958237171E-2,7.804203033E-2,8.750769764E-2
4.341670970E-1,-2.854943275E-3,-4.365265369E-2,6.762504578E-2,8.054099386E-2
4.391878260E-1,-2.166771889E-2,-3.353524208E-2,3.840923309E-2,5.540191053E-2
4.442382430E-1,-2.379328012E-2,-9.554624557E-3,4.502964020E-2,5.181775300E-2
4.492590240E-1,-3.299647570E-2,-1.431500912E-2,4.920291901E-2,6.094763435E-2
4.542798060E-1,-6.758153439E-3,-1.676249504E-2,-5.846023560E-3,1.899552235E-2
4.593005870E-1,4.915177822E-3,1.627492905E-2,-3.657913208E-2,4.033689617E-2
4.643213680E-1,1.872521639E-2,2.294051647E-2,-3.143119812E-2,4.318357605E-2
4.693420970E-1,2.038490772E-2,2.237737179E-2,-7.133579254E-2,7.749249337E-2
4.743477740E-1,3.390902281E-2,7.660269737E-3,-5.632305145E-2,6.618751910E-2
4.793685560E-1,3.555101156E-2,4.552912712E-2,-5.092620850E-2,7.700814601E-2
4.843893370E-1,2.538621426E-2,4.039442539E-2,-6.927871704E-2,8.411724028E-2
4.894101180E-1,5.976140499E-3,2.827095985E-2,-5.900859833E-2,6.570369931E-2
4.944308990E-1,1.768368483E-2,6.907820702E-3,-3.226280212E-2,3.743419689E-2
4.994516290E-1,2.700054646E-2,1.431500912E-2,-2.238845825E-2,3.788392875E-2
5.044760040E-1,3.106474876E-3,1.222276688E-2,3.241252899E-2,3.477956659E-2
5.094967850E-1,-1.477420330E-3,5.664825439E-4,5.580520630E-2,5.582763405E-2
5.145175660E-1,-2.509480715E-2,1.499891281E-2,5.761909485E-2,6.461173905E-2
5.195383470E-1,-2.249550819E-2,5.627512932E-3,7.128620148E-2,7.496291958E-2
5.245590760E-1,-1.274681091E-2,3.265738487E-3,7.530784607E-2,7.644879277E-2
5.295798580E-1,-4.810112715E-2,-8.660078049E-3,9.587955475E-2,1.076178628E-1
5.346209510E-1,-4.288679361E-2,-2.531135082E-2,9.015941620E-2,1.029983586E-1
5.396605350E-1,-3.531867266E-2,-1.334476471E-2,5.604076385E-2,6.757261721E-2
5.446887640E-1,-8.786737919E-3,1.036953926E-2,5.546760559E-2,5.710857534E-2
5.497073060E-1,-6.307899952E-3,4.091107845E-2,2.406311035E-2,4.788046806E-2
5.547319410E-1,-6.277501583E-3,4.032051563E-2,-2.290725708E-3,4.087050809E-2
5.597526700E-1,-3.964602947E-3,1.834034920E-3,-3.312492371E-2,3.341170949E-2
5.647734510E-1,2.204138041E-2,1.606333256E-2,-7.551574707E-2,8.028998168E-2
